transcript_Id,Interviewer,Child,Sentiment (window size 3 / no threshold)
NA0018-M7,HM-HM,And I told her that I don’t want to go back to Janet’s house anymore,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1289, -0.1130,  0.1520,  0.0431], grad_fn=<DivBackward0>))"
NA0018-M7,OKAY AND WHAT HAPPENED WHEN YOU TOLD YOUR MUMMY YOU DIDN’T WANT TO GO TO JANET’S HOUSE ANYMORE,She just asked me why,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1189, -0.1479,  0.1181, -0.0347], grad_fn=<DivBackward0>))"
NA0018-M7,HM-HM,And I just said because Janet’s pop he touched me and I didn’t like it,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1685, -0.0569,  0.1732,  0.0414], grad_fn=<DivBackward0>))"
NA0060-PC,SO TELL ME HOW OLD MARK IS,He’s 17,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0018, 0.0290, 0.1336, 0.0791], grad_fn=<DivBackward0>))"
NA0060-PC,SARAH TELL ME THE LAST TIME YOU SAW MARK,I think it was last week,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0531, -0.0741,  0.0881,  0.0090], grad_fn=<DivBackward0>))"
NA0060-PC,TELL ME SARAH TELL ME ABOUT WHEN YOU LAST SAW MARK WHERE YOU WERE THINGS LIKE THAT,I came home from school and he was looking after me and he started saying nasty things to me,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0017, -0.1157,  0.1599,  0.1106], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.3246, -0.0382,  0.1019,  0.3033], grad_fn=<DivBackward0>))"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1201, -0.1369, -0.0876,  0.1873], grad_fn=<DivBackward0>))"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1240, -0.1123, -0.0821,  0.2202], grad_fn=<DivBackward0>))"
NA0077-PC,OKAY SO WHEN POP GRABBED YOUR GIRLIE BITS WAS IT FOR A SHORT TIME OR A LONG TIME,For a short time,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1049,  0.1497,  0.0468, -0.0654], grad_fn=<DivBackward0>))"
NA0077-PC,FOR A SHORT TIME OKAY AND DID POP SAY ANYTHING,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0760,  0.0596,  0.0306, -0.0729], grad_fn=<DivBackward0>))"
NA0077-PC,OKAY SO TELL ME MORE ABOUT WHEN POP GRABBED YOU ON THE GIRLIE BITS,He just was sitting next to me and then he put his hand down and I could feel it there,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0257,  0.0805,  0.1304, -0.0821], grad_fn=<DivBackward0>))"
NA0098-PC,OH OKAY YEAH,And then he put something into my bottom,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0994, 0.1921, 0.2245, 0.0811], grad_fn=<DivBackward0>))"
NA0098-PC,YEAH OKAY SOMETHING IN YOUR BOTTOM THEN WHAT HAPPENED,And then it really hurt and I started crying,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.2595, -0.0006,  0.3709,  0.3388], grad_fn=<DivBackward0>))"
