transcript_Id,Interviewer,Child,Sentiment (window size 7 / no threshold)
NA0098-PC,YOUR COUSIN,He's 12 and he has blond hair and he's my only cousin,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0310,  0.0640, -0.0409, -0.0939], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,Sometimes I stay at his house,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0292,  0.0881,  0.0070, -0.0929], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY,And sometimes we play on the computer,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0859,  0.0831, -0.0379, -0.1030], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN’S HOUSE,He has a single bed and I stay on the blow-up mattress,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0958,  0.0565, -0.0206, -0.1187], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN’S HOUSE,He woke me up in the middle of the night,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0986,  0.0368, -0.0148, -0.1230], grad_fn=<DivBackward0>))"
NA0098-PC,SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0875,  0.0276,  0.0015, -0.1038], grad_fn=<DivBackward0>))"
NA0098-PC,YEAH OKAY AND WHAT HAPPENED,And then he pulled my pants down,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0914, -0.0224,  0.0162, -0.0855], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY AND WHAT HAPPENED NEXT,And then he showed me some rude people on the computer,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1071, -0.0162,  0.0505,  0.2683], grad_fn=<DivBackward0>))"
NA0020-PC,ON THE COMPUTER YEAH,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0993, -0.0340,  0.0500,  0.2527], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY AND THIS IS IN THE LOUNGE ROOM OF HIS HOUSE,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0235, -0.0564,  0.0160,  0.1806], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY WHEN YOU SAY SOME RUDE PEOPLE WHAT WERE THE PICTURES,Naked people,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0640, -0.1068, -0.0259,  0.1378], grad_fn=<DivBackward0>))"
NA0020-PC,NAKED AND WHAT WERE THEY DOING,Touching each other's privates,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0524, -0.0696, -0.0239,  0.1290], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY SO LET ME JUST GO OVER WHAT YOU TOLD ME YOU SAID THAT YOU WERE IN HIS LOUNGE ROOM AND YOU WERE HE WAS ON HIS COMPUTER AND WHERE WERE YOU SITTING,I wasn't sitting,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0124, -0.0846, -0.0315,  0.0926], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY SO WHERE WERE YOU WHEN HE WAS ON HIS COMPUTER WHERE WERE YOU,Standing next to him,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0076, -0.0775, -0.0311,  0.0785], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.3385, -0.0269,  0.1192,  0.3074], grad_fn=<DivBackward0>))"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1228, -0.1238, -0.0800,  0.1859], grad_fn=<DivBackward0>))"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1297, -0.1012, -0.0734,  0.2205], grad_fn=<DivBackward0>))"
NA0016-M6,HM WHAT ELSE HAPPENED,Then that was when he was just being nasty and saying mean things,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1680, -0.0616, -0.0149,  0.2653], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And that was the part where he hurt Mum,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1556, -0.0864, -0.0011,  0.2622], grad_fn=<DivBackward0>))"
NA0016-M6,TELL ME MORE ABOUT THE PART WHERE HE’S HURT YOUR MUM,He just hurt her and she fell down on the ground,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1394, -0.0923,  0.0015,  0.2368], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And she wasn't moving,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1436, -0.1002,  0.0096,  0.2363], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY YOU SAID THAT THAT HAPPENED MORE THAN ONE TIME DID IT HAPPEN MORE THAN ONE TIME ON DIFFERENT DAYS OR MORE THAN ONE TIME ON THE SAME DAY,On different days,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1246, 0.0998, 0.0246, 0.1054], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY TELL ME ABOUT ANOTHER TIME THAT YOU CAN REMEMBER,I woke up and his dirty spot was in his hand and then we heard a noise,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0880, 0.1236, 0.0564, 0.1219], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY AND THEN WHAT HAPPENED,And then he got into bed,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0708, 0.0225, 0.0600, 0.0528], grad_fn=<DivBackward0>))"
NA0072-PC ,HM-HM TELL ME ABOUT THE PART WHERE YOU SAID YOU HEARD A NOISE,We heard a noise and I think it was my aunty and uncle going to bed,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0774, -0.0054,  0.1028,  0.0355], grad_fn=<DivBackward0>))"
NA0072-PC ,HM-HM AND DOES ANYONE ELSE APART FROM MUM KNOW THAT CALLUM HAD PUT HIS DIRTY SPOT IN YOUR BOTTOM,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0754, -0.0396,  0.1122,  0.0264], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY SO WHERE WERE YOUR AUNTY AND UNCLE WHEN CALLUM PUT HIS DIRTY SPOT IN YOUR BOTTOM,I think they were asleep,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0453, -0.0250,  0.1438,  0.0051], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY AND HAS CALLUM EVER SAID ANYTHING TO YOU ABOUT PUTTING HIS DIRTY SPOT IN YOUR BOTTOM,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0357, -0.0407,  0.1287,  0.0058], grad_fn=<DivBackward0>))"
NA0085-PC,UP TO YOUR CHIN ALL RIGHT SO TELL ME ABOUT THE BIT WHEN HE TICKLES YOUR MINI HOW LONG DOES HE DO THIS FOR,A long time,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0423,  0.2058,  0.1225, -0.0701], grad_fn=<DivBackward0>))"
NA0085-PC,A LONG TIME WHAT DOES IT FEEL LIKE,A bit yucky,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0931,  0.2721,  0.1963, -0.0367], grad_fn=<DivBackward0>))"
NA0085-PC,OKAY ALL RIGHT WHEN THIS HAPPENS WHERE’S MUM,She's at work,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0235,  0.0750,  0.1180, -0.0413], grad_fn=<DivBackward0>))"
NA0085-PC,HM-HM I WANT TO FIND OUT A BIT MORE ABOUT WHERE THIS HAPPENED WHERE DO YOU HAVE YOUR BATH,In the bathroom in the big one,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0122,  0.0559,  0.0702, -0.0198], grad_fn=<DivBackward0>))"
NA0085-PC,IN THE BIG BATHROOM OKAY SO I KNOW A LITTLE BIT ABOUT YOUR FAMILY BUT CAN YOU TELL ME A BIT MORE ABOUT YOUR FAMILY I KNOW YOU’VE GOT A MUM AND STEPHEN CAN YOU TELL ME MORE ABOUT YOUR FAMILY,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0346,  0.0287,  0.0702, -0.0439], grad_fn=<DivBackward0>))"
NA0085-PC,TELL ME WHO’S IN YOUR FAMILY,My real dad but he doesn't live with us and then we have one dog,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0473, -0.0493,  0.0336, -0.0708], grad_fn=<DivBackward0>))"
