transcript_Id,Interviewer,Child,Sentiment (window size 5 / no threshold)
NA0079-PC,OKAY THAT’S FINE THANK YOU AND WHEREABOUTS DID WHERE WERE YOU IN THE HOUSE WHEN DADDY’S STICK HURT YOU,In my bed,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3201, 0.4211, 0.3910, 0.3402], grad_fn=<DivBackward0>))"
NA0079-PC,IN YOUR BED OKAY AND WAS ANYBODY ELSE THERE,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.4042, 0.5510, 0.5640, 0.4230], grad_fn=<DivBackward0>))"
NA0079-PC,NO OKAY I SEE AND WHAT WERE YOU DOING ON YOUR BED,I was going to sleep,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3965, 0.3508, 0.4172, 0.3200], grad_fn=<DivBackward0>))"
NA0079-PC,OKAY WHAT HAPPENED THEN WHEN YOU WERE GOING TO SLEEP,Then he came in and he said he had a present for me,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1042, -0.0866, -0.0317, -0.0526], grad_fn=<DivBackward0>))"
NA0079-PC,OH OKAY HE SAID HE HAS A PRESENT OKAY AND WHAT WAS DAD’S PRESENT,It wasn’t really a present,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3073, 0.1930, 0.2200, 0.2165], grad_fn=<DivBackward0>))"
NA0047-PC,OKAY SO IT’S VERY IMPORTANT THAT YOU TELL ME WHAT’S HAPPENED IN THE TUNNEL AND I WANT TO BE IT’S VERY IMPORTANT THAT YOU TELL ME WHAT HAPPENED IN THE TUNNEL ARE YOU ABLE TO TALK WITH ME A BIT MORE ABOUT THAT,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5349, 0.7684, 0.6707, 0.5912], grad_fn=<DivBackward0>))"
NA0047-PC,OKAY WHAT HAPPENED IN THE TUNNEL THEN ISABELLE,He told me that he has to be the doctor and I have to be the patient,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3392, 0.3950, 0.4024, 0.3820], grad_fn=<DivBackward0>))"
NA0047-PC,OKAY AND THEN WHAT HAPPENS WITH THAT GAME,He got a stick and he knocked it on all my bones,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2693, 0.0535, 0.1054, 0.1767], grad_fn=<DivBackward0>))"
NA0047-PC,AND HE WHAT SORRY,Knocked it on all my bones,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3290, 0.4395, 0.4197, 0.3984], grad_fn=<DivBackward0>))"
NA0047-PC,KNOCKED IT ON YOUR BONES,Hm-hm,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2980, 0.5302, 0.4774, 0.3944], grad_fn=<DivBackward0>))"
NA0076-PC,TELL ME MORE ABOUT THE PART WHERE HE PUT HIS HAND IN YOUR UNDIES,He wrapped his hand around my doodle and then I said I didn’t like it,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3067, 0.2635, 0.3107, 0.2608], grad_fn=<DivBackward0>))"
NA0076-PC,HM-HM,And then he laughed and took it out,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1920, 0.2740, 0.2725, 0.2221], grad_fn=<DivBackward0>))"
NA0076-PC,OKAY WHAT HAPPENS NEXT,And then I went home,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2059, 0.3422, 0.3434, 0.2729], grad_fn=<DivBackward0>))"
NA0076-PC,HM-HM AND WAS ANYONE ELSE WITH YOU AT UNCLE GEORGE,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2123, 0.3856, 0.3919, 0.2866], grad_fn=<DivBackward0>))"
NA0076-PC,HM-HM AND CAN YOU TELL ME MORE ABOUT THE BIG BOYS GAME HAVE YOU PLAYED IT MORE THAN ONE TIME,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1449, 0.3179, 0.3045, 0.2229], grad_fn=<DivBackward0>))"
NA0082-PC,DID ANYBODY ELSE SEE THE MARKS,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5526, 0.7165, 0.7254, 0.6058], grad_fn=<DivBackward0>))"
NA0082-PC,NO WHY NOT,I don’t know,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3887, 0.4415, 0.4473, 0.4496], grad_fn=<DivBackward0>))"
NA0082-PC,OKAY SO TELL ME MORE ABOUT THE PART WHERE YOU BROKE THE CONTROLLER WHAT HAPPENED,We were just playing Nintendo and I was just standing up so I could go faster and it fell,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2885, 0.1600, 0.1673, 0.1881], grad_fn=<DivBackward0>))"
NA0082-PC,OKAY,And then he said I was in trouble,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3778, 0.4263, 0.4059, 0.3756], grad_fn=<DivBackward0>))"
NA0082-PC,OKAY SO NO ONE ELSE WAS HOME WHERE WAS EVERYONE ELSE,Work,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3739, 0.4602, 0.4332, 0.3978], grad_fn=<DivBackward0>))"
NA0047-PC,OH YEAH AND WHAT DOES THAT MEAN,He tells me to go on my hands and knees,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3396, 0.2267, 0.2619, 0.3158], grad_fn=<DivBackward0>))"
NA0047-PC,HM-HM,And then he put the stick in my bottom,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.2853, -0.0421,  0.0428,  0.1605], grad_fn=<DivBackward0>))"
NA0047-PC,OH OKAY HAS THIS HAPPENED BEFORE,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3341, 0.0461, 0.1336, 0.2211], grad_fn=<DivBackward0>))"
NA0047-PC,AND THEN WHAT HAPPENED,I started crying,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3414, 0.2515, 0.3380, 0.2988], grad_fn=<DivBackward0>))"
NA0047-PC,OKAY DID IT HURT,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2455, 0.1904, 0.2398, 0.2360], grad_fn=<DivBackward0>))"
NA0038-M6,HM-HM,And so that’s when I started crying a lot and I couldn’t stop crying,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3467, 0.3524, 0.3493, 0.4307], grad_fn=<DivBackward0>))"
NA0038-M6,HM-HM AND WHAT HAPPENED NEXT,Then he just told me that we don’t have to play anymore,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2933, 0.1519, 0.1923, 0.2749], grad_fn=<DivBackward0>))"
NA0038-M6,HM-HM,And so he just pulled his pants back up,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2811, 0.1471, 0.1922, 0.2565], grad_fn=<DivBackward0>))"
NA0038-M6,HM-HM,And I let go of my dress,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3013, 0.3097, 0.3314, 0.3237], grad_fn=<DivBackward0>))"
NA0038-M6,HM-HM AND THEN WHAT HAPPENED,Then he just came over and he gave me a hug,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2312, 0.4565, 0.4411, 0.3492], grad_fn=<DivBackward0>))"
NA0082-PC,LOTS OF TIMES,Yes and then he just stopped,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.4227, 0.5503, 0.5659, 0.4917], grad_fn=<DivBackward0>))"
NA0082-PC,OKAY IS THIS THE ONLY TIME THAT HE’S HIT YOU,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.4064, 0.6648, 0.6178, 0.5316], grad_fn=<DivBackward0>))"
NA0082-PC,DO YOU REMEMBER HOW LONG HE WAS HITTING YOU FOR,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2286, 0.3615, 0.3263, 0.3161], grad_fn=<DivBackward0>))"
NA0082-PC,NO DO YOU KNOW WHERE HE GOT THE STICK FROM,Yeah he just got it from the garden,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0140, -0.0251, -0.0059, -0.0004], grad_fn=<DivBackward0>))"
NA0082-PC,OKAY AND WHO IS MARK,He’s my cousin,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2159, 0.2539, 0.2479, 0.2065], grad_fn=<DivBackward0>))"
NA0078-PC,AND WHAT HAPPENS AFTER THAT,And then I played outside,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2949, 0.4822, 0.4543, 0.4144], grad_fn=<DivBackward0>))"
NA0078-PC,YOU PLAY OUTSIDE OKAY YOU’VE DONE A GREAT JOB IN TALKING TO ME TODAY YOU’RE DOING REALLY WELL TELLME JUST FROM THE BEGINNING WHEN HE FOLLOWS YOU INTO THE CUPBOARD JUST TELL ME THAT BIT WHEN HE FOLLOWS YOU INTO THE CUPBOARD SO THE BIT WHEN HE GOES FIRST,He pulls his pants down,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2138, 0.1183, 0.1337, 0.1600], grad_fn=<DivBackward0>))"
NA0078-PC,YEAH WHAT THEN,He showed me his willy,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2872, 0.1987, 0.2041, 0.2345], grad_fn=<DivBackward0>))"
NA0078-PC,SO HE FOLLOWS YOU INTO THE CUPBOARD AND THEN HE PULLS HIS PANTS DOWN AND SHOWS YOU HIS WILLY IS THAT HAVE I GOT THAT RIGHT,Hm-hm,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0400, 0.0986, 0.0782, 0.0424], grad_fn=<DivBackward0>))"
NA0078-PC,OKAY AND WHAT THEN,Then I have to pull my dress up,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1360, 0.3855, 0.3275, 0.2392], grad_fn=<DivBackward0>))"
NA0043-PC,HM-HM WHAT HAPPENED AFTER THAT,And then we went back to play on the playground,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2522, 0.3375, 0.3355, 0.2512], grad_fn=<DivBackward0>))"
NA0043-PC,HM DID ANYTHING ELSE HAPPEN TO YOU WHILE YOU WERE IN THE TOILET WITH SAM,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1632, 0.2464, 0.2315, 0.1656], grad_fn=<DivBackward0>))"
NA0043-PC,YOU SAID THERE WERE OTHER BOYS THERE,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2051, 0.2693, 0.2200, 0.1897], grad_fn=<DivBackward0>))"
NA0043-PC,WHAT HAPPENED WITH THE OTHER BOYS,They were just watching,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0709, 0.0180, 0.0045, 0.0084], grad_fn=<DivBackward0>))"
NA0043-PC,HM-HM WHAT WERE THEY DOING WHEN THEY WERE WATCHING,They were just laughing,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1625, 0.1046, 0.0996, 0.0817], grad_fn=<DivBackward0>))"
NA0079-PC,OKAY AND WHAT’S THAT,My undies,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.4188, 0.6059, 0.4978, 0.5319], grad_fn=<DivBackward0>))"
NA0079-PC,OKAY AND WHAT’S YOUR UNDIES LIKE,They’re white,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3223, 0.3244, 0.3472, 0.3544], grad_fn=<DivBackward0>))"
NA0079-PC,THEY’RE WHITE UNDIES OKAY GOOD GIRL OKAY THAT’S BRILLIANT YOU’VE GIVEN ME LOTS OF INFORMATION THERE SOPHIE OKAY SO WHERE WOULD YOUR CLOTHES BE NOW,He pulled my undies off,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2639, 0.1282, 0.1557, 0.1680], grad_fn=<DivBackward0>))"
NA0079-PC,OKAY AND WHERE WERE THEY WHERE DID THEY GO,I don’t know,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1981, 0.2980, 0.2915, 0.2379], grad_fn=<DivBackward0>))"
NA0079-PC,OKAY THAT’S FINE AND WHEN YOU TALK TO MUMMY DID YOU TELL MUMMY THAT YOUR UNDIES WERE OFF,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0543, 0.1490, 0.1332, 0.0959], grad_fn=<DivBackward0>))"
NA0054-PC,HM-HM,And I really needed to go to the toilet,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3699, 0.4824, 0.4207, 0.4770], grad_fn=<DivBackward0>))"
NA0054-PC,OKAY AND THEN WHAT HAPPENED NEXT,I went to the toilet by myself because Mum couldn’t leave my baby brother by himself,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3176, 0.0846, 0.1443, 0.2367], grad_fn=<DivBackward0>))"
NA0054-PC,AH-HA,And then I went to the toilet by myself,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2280, 0.5442, 0.4623, 0.4080], grad_fn=<DivBackward0>))"
NA0054-PC,OKAY AND TELL ME EVERYTHING THAT HAPPENED FROM WHEN YOU WENT TO THE TOILET,I went into the toilet and I didn’t lock the door because I didn’t want to get stuck in,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2494, 0.5821, 0.4825, 0.4176], grad_fn=<DivBackward0>))"
NA0054-PC,HM-HM,And then the bad man came inside,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3187, 0.5169, 0.4434, 0.4447], grad_fn=<DivBackward0>))"
NA0038-M6,HM-HM,So that’s what I was doing and he was helping me,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3491, 0.3472, 0.3521, 0.2747], grad_fn=<DivBackward0>))"
NA0038-M6,HM-HM AND CAN YOU TELL ME MORE ABOUT WHAT HAPPENED IN THE CUPBOARD BECAUSE REMEMBER I WASN’T THERE SO I DON’T KNOW WHAT HAPPENED,He said that the game was called show and tell,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1591, 0.2304, 0.1864, 0.1164], grad_fn=<DivBackward0>))"
NA0038-M6,HM-HM,But when I play normal show and tell it’s not with your privates,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2838, 0.4740, 0.4006, 0.3734], grad_fn=<DivBackward0>))"
