transcript_Id,Interviewer,Child,Sentiment (window size 3 / 0.4 threshold)
NA0018-M7,HM-HM,And I told her that I don’t want to go back to Janet’s house anymore,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.2943200170993805, 0.2674808204174042, 0.2217784970998764, 0.21642062067985535]}"
NA0018-M7,OKAY AND WHAT HAPPENED WHEN YOU TOLD YOUR MUMMY YOU DIDN’T WANT TO GO TO JANET’S HOUSE ANYMORE,She just asked me why,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore. She just asked me why', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.31900519132614136, 0.266982764005661, 0.22213396430015564, 0.19187809526920319]}"
NA0018-M7,HM-HM,And I just said because Janet’s pop he touched me and I didn’t like it,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore. She just asked me why. And I just said because Janet’s pop he touched me and I didn’t like it', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.32825174927711487, 0.28779667615890503, 0.20157890021800995, 0.18237262964248657]}"
NA0060-PC,SO TELL ME HOW OLD MARK IS,He’s 17,"{'sequence': 'He’s 17', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.35333704948425293, 0.24993035197257996, 0.2328440099954605, 0.16388848423957825]}"
NA0060-PC,SARAH TELL ME THE LAST TIME YOU SAW MARK,I think it was last week,"{'sequence': 'He’s 17. I think it was last week', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.2981107234954834, 0.27765268087387085, 0.2195143699645996, 0.20472222566604614]}"
NA0060-PC,TELL ME SARAH TELL ME ABOUT WHEN YOU LAST SAW MARK WHERE YOU WERE THINGS LIKE THAT,I came home from school and he was looking after me and he started saying nasty things to me,"{'sequence': 'He’s 17. I think it was last week. I came home from school and he was looking after me and he started saying nasty things to me', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.3548184335231781, 0.2864266037940979, 0.27167943120002747, 0.08707552403211594]}"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"{'sequence': 'And he was angry because his dinner was cold', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.9568806886672974, 0.02238970622420311, 0.016419626772403717, 0.004309996031224728]}"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.5133775472640991, 0.2243940383195877, 0.21191880106925964, 0.05030960962176323]}"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.6093522310256958, 0.20205889642238617, 0.12489515542984009, 0.06369371712207794]}"
NA0077-PC,OKAY SO WHEN POP GRABBED YOUR GIRLIE BITS WAS IT FOR A SHORT TIME OR A LONG TIME,For a short time,"{'sequence': 'For a short time', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4016949534416199, 0.24262861907482147, 0.2067331075668335, 0.14894336462020874]}"
NA0077-PC,FOR A SHORT TIME OKAY AND DID POP SAY ANYTHING,No,"{'sequence': 'For a short time. No', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.33039823174476624, 0.2971475124359131, 0.1921679675579071, 0.18028630316257477]}"
NA0077-PC,OKAY SO TELL ME MORE ABOUT WHEN POP GRABBED YOU ON THE GIRLIE BITS,He just was sitting next to me and then he put his hand down and I could feel it there,"{'sequence': 'For a short time. No. He just was sitting next to me and then he put his hand down and I could feel it there', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.26266220211982727, 0.26206275820732117, 0.24129383265972137, 0.2339811474084854]}"
NA0098-PC,OH OKAY YEAH,And then he put something into my bottom,"{'sequence': 'And then he put something into my bottom', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.2960543632507324, 0.27007582783699036, 0.25312429666519165, 0.18074549734592438]}"
NA0098-PC,YEAH OKAY SOMETHING IN YOUR BOTTOM THEN WHAT HAPPENED,And then it really hurt and I started crying,"{'sequence': 'And then it really hurt and I started crying', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.7674772143363953, 0.13378764688968658, 0.07255101948976517, 0.026184087619185448]}"
NA0098-PC,OKAY DID ANYTHING ELSE HAPPEN,Yes he pulled it out and put it back in a few times,"{'sequence': 'And then it really hurt and I started crying. Yes he pulled it out and put it back in a few times', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.5999659299850464, 0.21505378186702728, 0.15052509307861328, 0.03445519879460335]}"
NA0052-PC,NOTHING AND WHAT WERE YOU DOING,Crying,"{'sequence': 'Crying', 'labels': ['sadness', 'anger', 'enjoyment', 'fear'], 'scores': [0.9738149642944336, 0.011105990037322044, 0.008160186931490898, 0.006918935105204582]}"
NA0052-PC,OKAY AND THEN WHAT HAPPENED WHEN HE’S HIT YOU A HUNDRED TIMES,Then he left,"{'sequence': 'Crying. Then he left', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.8803929686546326, 0.0637117251753807, 0.03341832756996155, 0.022476952522993088]}"
NA0052-PC,HE DID WHAT SORRY,He left,"{'sequence': 'Crying. Then he left. He left', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.9970386624336243, 0.0016878253081813455, 0.0008981185383163393, 0.0003753579221665859]}"
NA0079-PC,LAST NAME,It’s Brown,"{'sequence': 'It’s Brown', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.40466973185539246, 0.27529585361480713, 0.2264651209115982, 0.093569315969944]}"
NA0079-PC,OKAY OKAY SO DAD’S NAME IS LEWIS BROWN OKAY AND WHEN DID YOU LAST SEE DADDY,About two weeks ago,"{'sequence': 'It’s Brown. About two weeks ago', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.3750687539577484, 0.3112293779850006, 0.20607630908489227, 0.1076255813241005]}"
NA0079-PC,TWO WEEKS OKAY OKAY AND DID YOU SEE DADDY AFTER THAT,No,"{'sequence': 'It’s Brown. About two weeks ago. No', 'labels': ['sadness', 'anger', 'enjoyment', 'fear'], 'scores': [0.5251586437225342, 0.17983706295490265, 0.17001090943813324, 0.12499333918094635]}"
NA0002-PC,AT LUNCHTIME AND TELL ME EVERYTHING THAT HAPPENS WHEN YOU GO INTO THE TOILET WITH DANIEL AT LUNCHTIME RIGHT FROM THE BEGINNING WHEN YOU FIRST GO INTO THE TOILET WHAT HAPPENS,Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.2765883803367615, 0.2685934603214264, 0.2328602373600006, 0.22195789217948914]}"
NA0002-PC,OKAY AND THEN WHAT HAPPENED AFTER THAT,When we got in the toilet one of the teachers he came in,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together. When we got in the toilet one of the teachers he came in', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3076215982437134, 0.2540414035320282, 0.23198506236076355, 0.20635199546813965]}"
NA0002-PC,HM-HM,And he told us that he wanted to teach us a new game,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together. When we got in the toilet one of the teachers he came in. And he told us that he wanted to teach us a new game', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.2883128523826599, 0.2680535912513733, 0.22336196899414062, 0.22027158737182617]}"
NA0082-PC,OKAY SO NO ONE ELSE WAS HOME WHERE WAS EVERYONE ELSE,Work,"{'sequence': 'Work', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3541085720062256, 0.251664936542511, 0.2280544638633728, 0.16617199778556824]}"
NA0082-PC,AT WORK OKAY AND WHY WAS MARK THERE,To play,"{'sequence': 'Work. To play', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3906994163990021, 0.2714802920818329, 0.17143386602401733, 0.1663864701986313]}"
